Data;Godzina;Generacja Ÿróde³ wiatrowych;Generacja Ÿróde³ fotowoltaicznych
2021-10-01;1;1043,500;0,000
2021-10-01;2;922,363;0,000
2021-10-01;3;946,925;0,000
2021-10-01;4;1017,575;0,000
2021-10-01;5;1165,163;0,000
2021-10-01;6;1312,688;0,000
2021-10-01;7;1490,900;8,150
2021-10-01;8;1681,625;142,138
2021-10-01;9;1522,600;641,938
2021-10-01;10;1099,650;1247,863
2021-10-01;11;1012,713;1681,050
2021-10-01;12;1439,588;2085,013
2021-10-01;13;1801,925;2268,825
2021-10-01;14;1901,913;2126,750
2021-10-01;15;1878,063;1980,050
2021-10-01;16;1773,988;1575,938
2021-10-01;17;1598,438;1143,813
2021-10-01;18;1478,863;569,763
2021-10-01;19;1891,663;108,488
2021-10-01;20;2883,650;0,425
2021-10-01;21;3495,038;0,000
2021-10-01;22;3565,113;0,000
2021-10-01;23;3341,325;0,000
2021-10-01;24;3172,425;0,000
2021-10-02;1;3025,338;0,000
2021-10-02;2;2804,600;0,000
2021-10-02;3;2652,413;0,000
2021-10-02;4;2592,850;0,000
2021-10-02;5;2471,363;0,000
2021-10-02;6;2409,700;0,000
2021-10-02;7;2375,275;3,425
2021-10-02;8;2251,025;120,213
2021-10-02;9;1882,138;478,025
2021-10-02;10;1507,663;985,800
2021-10-02;11;1390,063;1590,000
2021-10-02;12;1447,725;1932,413
2021-10-02;13;1583,125;2244,363
2021-10-02;14;1577,325;2294,238
2021-10-02;15;1546,688;2081,338
2021-10-02;16;1401,963;1611,650
2021-10-02;17;1243,350;1118,813
2021-10-02;18;1205,850;482,863
2021-10-02;19;1782,750;61,350
2021-10-02;20;2721,775;0,313
2021-10-02;21;3346,913;0,000
2021-10-02;22;3469,300;0,000
2021-10-02;23;3457,275;0,000
2021-10-02;24;3442,913;0,000
2021-10-03;1;3488,138;0,000
2021-10-03;2;3448,388;0,000
2021-10-03;3;3617,575;0,000
2021-10-03;4;3634,038;0,000
2021-10-03;5;3705,650;0,000
2021-10-03;6;3808,175;0,000
2021-10-03;7;4162,613;6,488
2021-10-03;8;4075,225;145,213
2021-10-03;9;3835,225;516,163
2021-10-03;10;3359,450;1267,225
2021-10-03;11;3371,375;1904,363
2021-10-03;12;3536,700;2307,188
2021-10-03;13;3721,238;2484,025
2021-10-03;14;3863,325;2437,050
2021-10-03;15;3904,563;2270,350
2021-10-03;16;3938,800;1810,200
2021-10-03;17;3666,700;1126,975
2021-10-03;18;3561,838;489,225
2021-10-03;19;4036,963;66,488
2021-10-03;20;4474,150;0,200
2021-10-03;21;4582,450;0,000
2021-10-03;22;4360,750;0,000
2021-10-03;23;4000,225;0,000
2021-10-03;24;3612,288;0,000
2021-10-04;1;3277,100;0,013
2021-10-04;2;2862,088;0,013
2021-10-04;3;2599,375;0,000
2021-10-04;4;2411,125;0,000
2021-10-04;5;2207,238;0,000
2021-10-04;6;1979,800;0,000
2021-10-04;7;1730,600;2,850
2021-10-04;8;1469,175;101,363
2021-10-04;9;1099,163;492,288
2021-10-04;10;653,913;1118,650
2021-10-04;11;376,313;1745,700
2021-10-04;12;303,250;2052,150
2021-10-04;13;355,900;2186,638
2021-10-04;14;401,788;2217,313
2021-10-04;15;443,688;2002,838
2021-10-04;16;464,800;1594,025
2021-10-04;17;464,488;1036,363
2021-10-04;18;554,100;405,025
2021-10-04;19;740,275;64,075
2021-10-04;20;793,350;0,050
2021-10-04;21;867,000;0,000
2021-10-04;22;932,875;0,000
2021-10-04;23;1007,325;0,000
2021-10-04;24;969,825;0,000
2021-10-05;1;944,350;0,000
2021-10-05;2;951,463;0,000
2021-10-05;3;1002,388;0,000
2021-10-05;4;1095,575;0,013
2021-10-05;5;1367,338;0,088
2021-10-05;6;1541,638;0,000
2021-10-05;7;1798,038;2,363
2021-10-05;8;1956,900;86,875
2021-10-05;9;1931,750;491,075
2021-10-05;10;1731,638;1157,313
2021-10-05;11;1895,013;1728,950
2021-10-05;12;2193,363;2117,988
2021-10-05;13;2836,525;2276,550
2021-10-05;14;3327,875;2281,813
2021-10-05;15;3819,875;2074,250
2021-10-05;16;4113,263;1495,463
2021-10-05;17;4327,963;933,025
2021-10-05;18;4291,875;363,488
2021-10-05;19;4508,813;24,413
2021-10-05;20;4632,038;0,038
2021-10-05;21;4395,163;0,000
2021-10-05;22;4127,775;0,000
2021-10-05;23;3766,550;0,000
2021-10-05;24;3631,950;0,000
2021-10-06;1;3537,863;0,000
2021-10-06;2;3226,650;0,000
2021-10-06;3;2986,300;0,000
2021-10-06;4;2765,800;0,000
2021-10-06;5;2542,125;0,000
2021-10-06;6;2486,113;0,000
2021-10-06;7;2383,400;2,725
2021-10-06;8;2303,388;117,025
2021-10-06;9;2050,925;292,913
2021-10-06;10;1848,163;578,700
2021-10-06;11;1621,713;872,813
2021-10-06;12;1430,825;1037,163
2021-10-06;13;1275,875;1102,213
2021-10-06;14;1123,963;1135,975
2021-10-06;15;1048,675;881,725
2021-10-06;16;1015,438;602,613
2021-10-06;17;934,188;370,000
2021-10-06;18;988,375;144,150
2021-10-06;19;1106,288;19,400
2021-10-06;20;1088,163;0,013
2021-10-06;21;1076,325;0,000
2021-10-06;22;1106,600;0,000
2021-10-06;23;1058,763;0,000
2021-10-06;24;1063,525;0,000
2021-10-07;1;1055,413;0,000
2021-10-07;2;1039,638;0,000
2021-10-07;3;1019,238;0,000
2021-10-07;4;994,325;0,000
2021-10-07;5;979,625;0,000
2021-10-07;6;1001,550;0,000
2021-10-07;7;969,975;1,275
2021-10-07;8;917,588;83,013
2021-10-07;9;880,400;256,900
2021-10-07;10;718,125;721,538
2021-10-07;11;599,475;945,713
2021-10-07;12;596,025;1266,175
2021-10-07;13;648,500;1518,475
2021-10-07;14;663,763;1557,338
2021-10-07;15;611,925;1547,338
2021-10-07;16;680,225;1240,613
2021-10-07;17;703,225;824,013
2021-10-07;18;783,888;299,388
2021-10-07;19;1032,475;26,238
2021-10-07;20;1324,788;0,013
2021-10-07;21;1525,613;0,088
2021-10-07;22;1741,825;0,038
2021-10-07;23;1730,625;0,050
2021-10-07;24;1669,575;0,000
2021-10-08;1;1523,488;0,000
2021-10-08;2;1431,075;0,000
2021-10-08;3;1364,163;0,000
2021-10-08;4;1335,175;0,000
2021-10-08;5;1317,588;0,025
2021-10-08;6;1318,775;0,000
2021-10-08;7;1416,488;0,875
2021-10-08;8;1451,500;102,813
2021-10-08;9;1053,950;544,525
2021-10-08;10;553,013;1209,863
2021-10-08;11;532,725;1785,350
2021-10-08;12;998,363;2156,963
2021-10-08;13;1452,313;2409,338
2021-10-08;14;1363,650;2591,550
2021-10-08;15;1041,063;2332,800
2021-10-08;16;921,300;1834,463
2021-10-08;17;946,138;1186,138
2021-10-08;18;1020,725;454,313
2021-10-08;19;1520,175;32,775
2021-10-08;20;2223,788;0,013
2021-10-08;21;2802,913;0,000
2021-10-08;22;3095,588;0,000
2021-10-08;23;2862,388;0,000
2021-10-08;24;2632,975;0,000
2021-10-09;1;2443,763;0,000
2021-10-09;2;2262,988;0,000
2021-10-09;3;1990,063;0,000
2021-10-09;4;1739,913;0,000
2021-10-09;5;1562,500;0,000
2021-10-09;6;1451,325;0,000
2021-10-09;7;1291,275;1,263
2021-10-09;8;1255,050;102,438
2021-10-09;9;1088,175;584,163
2021-10-09;10;562,075;1353,388
2021-10-09;11;325,963;1969,200
2021-10-09;12;645,788;2411,913
2021-10-09;13;972,138;2611,913
2021-10-09;14;837,750;2589,500
2021-10-09;15;630,650;2325,163
2021-10-09;16;594,575;1844,650
2021-10-09;17;620,163;1240,088
2021-10-09;18;629,475;434,013
2021-10-09;19;860,675;42,913
2021-10-09;20;1290,288;0,000
2021-10-09;21;1566,500;0,000
2021-10-09;22;1741,575;0,000
2021-10-09;23;1803,000;0,000
2021-10-09;24;1683,788;0,000
2021-10-10;1;1530,925;0,000
2021-10-10;2;1304,875;0,000
2021-10-10;3;1096,488;0,000
2021-10-10;4;948,500;0,000
2021-10-10;5;819,300;0,000
2021-10-10;6;762,675;0,000
2021-10-10;7;762,525;0,338
2021-10-10;8;789,538;95,075
2021-10-10;9;792,875;586,225
2021-10-10;10;573,075;1261,000
2021-10-10;11;243,200;1738,888
2021-10-10;12;331,275;2231,413
2021-10-10;13;651,975;2457,913
2021-10-10;14;629,188;2376,475
2021-10-10;15;480,525;2061,438
2021-10-10;16;375,788;1599,950
2021-10-10;17;323,425;1088,863
2021-10-10;18;366,588;429,575
2021-10-10;19;651,300;23,750
2021-10-10;20;1028,525;0,000
2021-10-10;21;1463,200;0,000
2021-10-10;22;1822,438;0,000
2021-10-10;23;2095,850;0,000
2021-10-10;24;2229,325;0,000
2021-10-11;1;2226,638;0,000
2021-10-11;2;2062,150;0,000
2021-10-11;3;1944,000;0,000
2021-10-11;4;2005,238;0,000
2021-10-11;5;1824,713;0,000
2021-10-11;6;1619,575;0,000
2021-10-11;7;1524,063;0,213
2021-10-11;8;1457,325;86,988
2021-10-11;9;1333,538;443,725
2021-10-11;10;1051,163;1084,213
2021-10-11;11;725,125;1621,388
2021-10-11;12;583,288;1900,388
2021-10-11;13;575,900;1919,613
2021-10-11;14;732,238;1790,713
2021-10-11;15;1006,825;1482,800
2021-10-11;16;1233,563;1261,550
2021-10-11;17;1315,400;666,938
2021-10-11;18;1385,463;255,588
2021-10-11;19;1692,700;15,463
2021-10-11;20;2053,063;0,000
2021-10-11;21;2276,400;0,000
2021-10-11;22;2600,013;0,000
2021-10-11;23;2621,163;0,000
2021-10-11;24;2598,588;0,000
2021-10-12;1;2711,775;0,013
2021-10-12;2;2614,050;0,013
2021-10-12;3;2582,863;0,013
2021-10-12;4;2610,038;0,013
