Data;Godzina;Generacja Ÿróde³ wiatrowych;Generacja Ÿróde³ fotowoltaicznych
2022-12-01;1;711,688;0,000
2022-12-01;2;642,463;0,000
2022-12-01;3;648,475;0,000
2022-12-01;4;614,763;0,000
2022-12-01;5;577,675;0,000
2022-12-01;6;542,950;0,000
2022-12-01;7;490,925;0,000
2022-12-01;8;448,625;29,950
2022-12-01;9;414,213;110,188
2022-12-01;10;399,013;268,500
2022-12-01;11;335,663;428,188
2022-12-01;12;288,125;485,338
2022-12-01;13;284,913;448,825
2022-12-01;14;305,288;306,575
2022-12-01;15;367,338;139,775
2022-12-01;16;426,750;77,913
2022-12-01;17;479,838;0,000
2022-12-01;18;530,888;0,000
2022-12-01;19;580,663;0,000
2022-12-01;20;528,600;0,000
2022-12-01;21;482,800;0,000
2022-12-01;22;464,988;0,000
2022-12-01;23;505,775;0,000
2022-12-01;24;510,563;0,000
2022-12-02;1;544,425;0,000
2022-12-02;2;555,788;0,000
2022-12-02;3;576,700;0,000
2022-12-02;4;616,938;0,000
2022-12-02;5;650,938;0,000
2022-12-02;6;733,738;0,000
2022-12-02;7;793,438;0,000
2022-12-02;8;887,075;44,163
2022-12-02;9;966,813;94,625
2022-12-02;10;889,875;209,963
2022-12-02;11;769,450;351,488
2022-12-02;12;758,413;408,338
2022-12-02;13;794,738;403,113
2022-12-02;14;807,438;331,988
2022-12-02;15;854,488;174,200
2022-12-02;16;908,200;88,125
2022-12-02;17;1021,963;0,000
2022-12-02;18;1007,100;0,000
2022-12-02;19;1029,313;0,000
2022-12-02;20;932,175;0,000
2022-12-02;21;848,488;0,000
2022-12-02;22;821,000;0,000
2022-12-02;23;793,013;0,000
2022-12-02;24;736,750;0,000
2022-12-03;1;734,900;0,000
2022-12-03;2;712,213;0,000
2022-12-03;3;718,350;0,000
2022-12-03;4;777,063;0,000
2022-12-03;5;785,225;0,000
2022-12-03;6;763,575;0,000
2022-12-03;7;755,213;0,000
2022-12-03;8;735,850;38,700
2022-12-03;9;694,688;119,775
2022-12-03;10;639,900;330,038
2022-12-03;11;547,100;571,200
2022-12-03;12;460,500;672,300
2022-12-03;13;433,413;683,250
2022-12-03;14;430,263;516,625
2022-12-03;15;495,388;319,138
2022-12-03;16;617,050;130,750
2022-12-03;17;773,700;0,000
2022-12-03;18;873,550;0,000
2022-12-03;19;942,588;0,000
2022-12-03;20;953,125;0,000
2022-12-03;21;979,925;0,000
2022-12-03;22;982,588;0,000
2022-12-03;23;1057,725;0,000
2022-12-03;24;1187,450;0,000
2022-12-04;1;1236,825;0,000
2022-12-04;2;1386,975;0,000
2022-12-04;3;1532,163;0,000
2022-12-04;4;1607,488;0,000
2022-12-04;5;1771,513;0,000
2022-12-04;6;1938,775;0,000
2022-12-04;7;2032,013;0,000
2022-12-04;8;2113,250;24,588
2022-12-04;9;2228,413;186,613
2022-12-04;10;2230,775;541,338
2022-12-04;11;2178,388;850,213
2022-12-04;12;2072,063;989,850
2022-12-04;13;2026,775;950,650
2022-12-04;14;2121,788;703,738
2022-12-04;15;2336,300;283,263
2022-12-04;16;2588,113;83,675
2022-12-04;17;2836,175;0,000
2022-12-04;18;2928,200;0,000
2022-12-04;19;2922,500;0,000
2022-12-04;20;2961,513;0,000
2022-12-04;21;2959,913;0,000
2022-12-04;22;3022,388;0,000
2022-12-04;23;3088,038;0,000
2022-12-04;24;3068,775;0,000
2022-12-05;1;3012,725;0,000
2022-12-05;2;3076,763;0,000
2022-12-05;3;3097,975;0,000
2022-12-05;4;3095,550;0,000
2022-12-05;5;2979,438;0,000
2022-12-05;6;2908,488;0,000
2022-12-05;7;2677,925;0,000
2022-12-05;8;2426,463;24,525
2022-12-05;9;2353,625;127,500
2022-12-05;10;2136,025;311,525
2022-12-05;11;1878,263;586,050
2022-12-05;12;1600,563;762,175
2022-12-05;13;1344,138;809,363
2022-12-05;14;1200,950;478,013
2022-12-05;15;1074,363;279,013
2022-12-05;16;947,300;70,788
2022-12-05;17;889,713;0,000
2022-12-05;18;803,238;0,000
2022-12-05;19;710,425;0,000
2022-12-05;20;686,975;0,000
2022-12-05;21;615,425;0,000
2022-12-05;22;534,363;0,000
2022-12-05;23;518,038;0,000
2022-12-05;24;487,525;0,000
2022-12-06;1;452,500;0,000
2022-12-06;2;397,438;0,000
2022-12-06;3;388,550;0,000
2022-12-06;4;360,800;0,000
2022-12-06;5;356,638;0,000
2022-12-06;6;328,063;0,000
2022-12-06;7;280,788;0,000
2022-12-06;8;310,500;27,150
2022-12-06;9;342,175;70,638
2022-12-06;10;338,450;190,800
2022-12-06;11;290,375;267,150
2022-12-06;12;307,550;303,900
2022-12-06;13;361,938;310,638
2022-12-06;14;347,688;275,775
2022-12-06;15;396,475;106,375
2022-12-06;16;449,163;49,125
2022-12-06;17;543,838;0,000
2022-12-06;18;618,213;0,000
2022-12-06;19;698,725;0,000
2022-12-06;20;831,863;0,000
2022-12-06;21;925,463;0,000
2022-12-06;22;1007,963;0,000
2022-12-06;23;1015,600;0,000
2022-12-06;24;1106,888;0,000
2022-12-07;1;1290,400;0,000
2022-12-07;2;1430,588;0,000
2022-12-07;3;1632,163;0,000
2022-12-07;4;1928,688;0,000
2022-12-07;5;1935,113;0,000
2022-12-07;6;2129,150;0,000
2022-12-07;7;2322,950;0,000
2022-12-07;8;2433,938;28,613
2022-12-07;9;2628,838;125,925
2022-12-07;10;2702,450;322,563
2022-12-07;11;2812,288;600,963
2022-12-07;12;3098,600;682,100
2022-12-07;13;3261,125;637,963
2022-12-07;14;3372,725;472,625
2022-12-07;15;3450,700;317,450
2022-12-07;16;3630,988;104,400
2022-12-07;17;3823,163;0,000
2022-12-07;18;4089,550;0,000
2022-12-07;19;4299,450;0,000
2022-12-07;20;4300,600;0,000
2022-12-07;21;4418,388;0,000
2022-12-07;22;4325,338;0,000
2022-12-07;23;4233,063;0,000
2022-12-07;24;4115,100;0,000
2022-12-08;1;3880,800;0,000
2022-12-08;2;3732,913;0,000
2022-12-08;3;3526,200;0,000
2022-12-08;4;3173,088;0,000
2022-12-08;5;2909,563;0,000
2022-12-08;6;2532,913;0,000
2022-12-08;7;2330,213;0,000
2022-12-08;8;2369,538;29,638
2022-12-08;9;2163,713;249,863
2022-12-08;10;2026,675;804,138
2022-12-08;11;1856,763;1360,213
2022-12-08;12;1687,825;1356,863
2022-12-08;13;1598,750;1262,863
2022-12-08;14;1632,463;913,188
2022-12-08;15;1781,788;449,438
2022-12-08;16;1884,975;87,100
2022-12-08;17;2214,438;0,000
2022-12-08;18;2408,863;0,000
2022-12-08;19;2539,825;0,000
2022-12-08;20;2463,488;0,000
2022-12-08;21;2279,363;0,000
2022-12-08;22;2065,550;0,000
2022-12-08;23;1711,888;0,000
2022-12-08;24;1305,525;0,000
2022-12-09;1;1050,000;0,000
2022-12-09;2;808,950;0,000
2022-12-09;3;601,525;0,000
2022-12-09;4;462,588;0,000
2022-12-09;5;325,188;0,000
2022-12-09;6;250,313;0,000
2022-12-09;7;213,750;0,000
2022-12-09;8;188,238;23,013
2022-12-09;9;147,350;261,813
2022-12-09;10;115,025;720,638
2022-12-09;11;64,288;1079,738
2022-12-09;12;51,000;1252,875
2022-12-09;13;41,438;1174,975
2022-12-09;14;56,738;727,675
2022-12-09;15;84,963;304,788
2022-12-09;16;156,775;74,738
2022-12-09;17;265,500;0,000
2022-12-09;18;349,800;0,000
2022-12-09;19;436,463;0,000
2022-12-09;20;503,900;0,000
2022-12-09;21;541,100;0,000
2022-12-09;22;584,613;0,000
2022-12-09;23;632,088;0,000
2022-12-09;24;634,275;0,000
2022-12-10;1;523,750;0,000
2022-12-10;2;493,750;0,000
2022-12-10;3;521,363;0,000
2022-12-10;4;565,938;0,000
2022-12-10;5;576,350;0,000
2022-12-10;6;568,488;0,000
2022-12-10;7;586,675;0,000
2022-12-10;8;572,875;21,275
2022-12-10;9;556,238;67,063
2022-12-10;10;503,788;143,413
2022-12-10;11;407,450;299,838
2022-12-10;12;364,450;402,313
2022-12-10;13;342,250;359,225
2022-12-10;14;331,338;221,463
2022-12-10;15;345,463;111,725
2022-12-10;16;350,813;63,813
2022-12-10;17;341,625;0,000
2022-12-10;18;341,288;0,000
2022-12-10;19;361,038;0,000
2022-12-10;20;393,275;0,000
2022-12-10;21;425,788;0,000
2022-12-10;22;458,825;0,000
2022-12-10;23;490,525;0,000
2022-12-10;24;455,375;0,000
2022-12-11;1;473,938;0,000
2022-12-11;2;536,163;0,000
2022-12-11;3;645,375;0,000
2022-12-11;4;709,675;0,000
2022-12-11;5;764,738;0,000
2022-12-11;6;809,538;0,000
2022-12-11;7;931,913;0,000
2022-12-11;8;997,888;20,913
2022-12-11;9;989,600;70,163
2022-12-11;10;916,813;176,800
2022-12-11;11;1090,238;308,713
2022-12-11;12;1161,250;336,513
2022-12-11;13;1201,963;385,313
2022-12-11;14;1380,700;312,988
2022-12-11;15;1430,125;200,300
2022-12-11;16;1519,938;92,300
2022-12-11;17;1504,200;0,000
2022-12-11;18;1542,150;0,000
2022-12-11;19;1684,163;0,000
2022-12-11;20;1773,063;0,000
2022-12-11;21;1855,613;0,000
2022-12-11;22;2046,975;0,000
2022-12-11;23;2188,838;0,000
2022-12-11;24;2182,950;0,000
2022-12-12;1;2303,125;0,000
2022-12-12;2;2285,025;0,000
2022-12-12;3;2529,013;0,000
2022-12-12;4;2868,413;0,000
2022-12-12;5;3187,950;0,000
2022-12-12;6;3505,200;0,000
2022-12-12;7;3741,550;0,000
2022-12-12;8;3910,388;27,850
2022-12-12;9;3813,238;144,325
2022-12-12;10;3831,350;366,513
2022-12-12;11;3799,238;543,325
2022-12-12;12;4063,813;664,275
2022-12-12;13;4393,075;748,713
